name,nif,address,cp,color,phone,ssn,count_bank
Adalberto de Hurtado,C17825159,"Plaza de Amaya Jódar 94 Piso 0 
Zaragoza, 27783",cp: 10263,#f49492,+34984853841,C17825159,count_bank: ES1910224803885698993492
Teresita Jerez Buendía,Y0859944B,"Camino Marcos Gallart 50 Apt. 37 
Madrid, 33984",cp: 46055,#f95e9a,+34982119179,Y0859944B,count_bank: ES2872793893070141125031
Estela de Paredes,G62459078,"C. de Marcelo Solís 77 Piso 4 
La Coruña, 17678",cp: 34058,#79f783,+34927767738,G62459078,count_bank: ES6568961964588586403793
Américo Ayuso Pujol,U7468200F,"Via de Pancho Tejera 23 Piso 5 
Girona, 47962",cp: 32785,#6c02e5,+34712 13 55 71,U7468200F,count_bank: ES3138146925732577694896
Adela Capdevila,H56322100,"Via de Juan José Nicolau 5 Apt. 85 
Cantabria, 07272",cp: 37972,#298aad,+34 886391164,H56322100,count_bank: ES9316050637683310608679
Hugo de Feijoo,30881674B,"Via Elisa Buendía 49
Segovia, 29839",cp: 46734,#7f67d3,+34973129211,30881674B,count_bank: ES8314911038412414398583
Marcos del Seco,71511639Q,"Avenida León Olivé 764 Piso 3 
Las Palmas, 01637",cp: 10580,#ea8ab8,+34875 809 910,71511639Q,count_bank: ES0888764571852525066004
Cecilio Diez-Cañas,Y6435237N,"Callejón de Ana Mora 46
Santa Cruz de Tenerife, 14100",cp: 44325,#85d852,+34902278187,Y6435237N,count_bank: ES8531877284506882271201
Manuela Oliva-Salinas,15256134G,"Alameda de Alondra Cases 29 Puerta 4 
Guadalajara, 08497",cp: 21128,#dbac02,+34731 29 40 63,15256134G,count_bank: ES5938689343020883922777
María Pilar Bernal Agudo,27619879F,"Pasaje de Lola Ramón 86
Toledo, 14803",cp: 41865,#76d852,+34963 20 67 88,27619879F,count_bank: ES1536271034737705200362
Camila Torre Moreno,Y2631297L,"Calle Nico Riquelme 109 Apt. 34 
La Rioja, 28043",cp: 04959,#dd465d,+34885798840,Y2631297L,count_bank: ES5386088363862957940610
Eulalia Guitart Carbajo,43409525S,"Acceso de Balduino Lopez 79 Puerta 0 
Cádiz, 48582",cp: 16629,#e0a36d,+34826 83 20 81,43409525S,count_bank: ES9826424959665684809238
Yago Tormo Alfonso,81901337Q,"Pasaje de Juan Carlos Cabello 95
Murcia, 15369",cp: 22455,#d34a87,+34971008194,81901337Q,count_bank: ES1496681739894229861901
Ascensión Miguel Lasa,92995910X,"Ronda Pepito Querol 16
Santa Cruz de Tenerife, 09832",cp: 37084,#f2c69f,+34 941924465,92995910X,count_bank: ES6592534822538731907653
Berto de Pazos,R3484982H,"Vial Carmela Peñalver 807 Piso 5 
Almería, 31070",cp: 10009,#01a897,+34 976498290,R3484982H,count_bank: ES8333067509875567406484
Olimpia Borrás Lago,Z4190806G,"Alameda de Bienvenida Cuesta 82 Puerta 9 
Jaén, 38269",cp: 34762,#2dbf28,+34 949 68 55 01,Z4190806G,count_bank: ES1674943420148281392490
Consuela Gomila Nogueira,90928787N,"Camino Máxima Marcos 244
Alicante, 27219",cp: 45813,#e86b0b,+34 824 17 02 77,90928787N,count_bank: ES5976092783804701724620
Paca Larrañaga,61442558J,"Rambla Haroldo Coloma 65 Piso 1 
Lleida, 06041",cp: 22439,#029df7,+34881 150 030,61442558J,count_bank: ES1171786572179857307030
Óscar Palomar Blazquez,39854479X,"Callejón Piedad Conde 69
Guipúzcoa, 03063",cp: 32590,#82d157,+34 985526113,39854479X,count_bank: ES5674896787835686751552
Úrsula Lasa Sureda,17799326V,"Camino Flor Samper 8
Ciudad, 51234",cp: 37422,#e8fc83,+34921 58 35 87,17799326V,count_bank: ES3071389009401585053739
Asdrubal Aroca Valderrama,X2531193C,"Pasadizo de Isidora Giménez 41 Apt. 69 
Guipúzcoa, 23534",cp: 32107,#0362c6,+34 849 81 25 90,X2531193C,count_bank: ES7194130503343255913158
Victoria Nicolás Pulido,33938140F,"Calle Noé Palau 39
Almería, 19187",cp: 28639,#cc064e,+34875 81 33 44,33938140F,count_bank: ES2565180052322331612034
Félix del Royo,Z9608798R,"Avenida Mamen Sales 6
Huesca, 41019",cp: 05018,#6bad01,+34 974480783,Z9608798R,count_bank: ES6337051754566263403293
Emperatriz Amorós Iglesia,D08611063,"Vial Luna Escobar 63 Puerta 5 
Sevilla, 43715",cp: 42465,#a4f9ba,+34 822 38 97 29,D08611063,count_bank: ES2856044797216477731081
Cecilio Reyes Cano,X9112907P,"Cuesta de Saturnino Lloret 21
Baleares, 50394",cp: 14660,#f47061,+34 713 45 75 60,X9112907P,count_bank: ES4804625872549983558250
Trinidad Eduardo Alarcón Alegria,C15430614,"Pasadizo de Pascuala Millán 62 Piso 9 
Zamora, 08488",cp: 36583,#e0bf1d,+34748 643 356,C15430614,count_bank: ES3507534526941762209277
Amaya Costa Aramburu,Z4580607R,"Pasaje Nayara Serna 629
Sevilla, 50728",cp: 48674,#d532db,+34 981664528,Z4580607R,count_bank: ES8891295676978106964740
Itziar Ortiz Cuevas,X6763992Z,"Alameda Primitivo Bustos 22
Cáceres, 41319",cp: 35204,#115072,+34981 15 56 75,X6763992Z,count_bank: ES1321790729163478574830
Melchor Grande Folch,V0723191C,"Camino de Malena Matas 97 Apt. 99 
Córdoba, 49329",cp: 07439,#4dccc7,+34 823 17 56 83,V0723191C,count_bank: ES9680967566691035633283
Tristán Bermúdez Antón,95948330N,"Cuesta Vilma Peña 75
Navarra, 50490",cp: 43730,#3296d1,+34983 156 510,95948330N,count_bank: ES3797526520184421222286
Felisa Tenorio,14469975P,"Ronda Paz Redondo 62 Piso 8 
Las Palmas, 25237",cp: 14625,#fc9c79,+34823 81 69 10,14469975P,count_bank: ES7293395861057497663494
Adela Chamorro Talavera,Y8739458R,"Glorieta de Jerónimo Gonzalo 65 Puerta 3 
Málaga, 17273",cp: 24475,#aa1e3f,+34 946 70 23 82,Y8739458R,count_bank: ES6070431190250834851194
Anselmo Ignacio Salmerón Chacón,Z1872638Y,"Pasadizo Domingo Calderón 50 Puerta 4 
Castellón, 50176",cp: 44459,#5ca4ed,+34947 44 52 60,Z1872638Y,count_bank: ES9580815197403194942189
Ibán Abella,64462958F,"Alameda de Coral Blanco 67 Apt. 19 
Las Palmas, 07513",cp: 49377,#6f56d3,+34876699958,64462958F,count_bank: ES2487843700101328421206
Fito Angulo Cepeda,51601505Q,"Paseo Natividad Guillen 8 Apt. 54 
Toledo, 05567",cp: 48812,#041bed,+34 924 19 68 82,51601505Q,count_bank: ES0328656848577842563755
Ibán Diego Bolaños Seco,H81026445,"Avenida de Florencia Uribe 99
Vizcaya, 22488",cp: 45441,#07ea69,+34925843003,H81026445,count_bank: ES8100998331091092610719
Moisés Calzada Contreras,87314913J,"Camino Macaria Macías 984
Vizcaya, 09212",cp: 01404,#f74580,+34 976 482 672,87314913J,count_bank: ES4408759738094903439205
Gregorio de Cámara,F8084465G,"Camino de Augusto León 96
Huelva, 29550",cp: 48500,#e7f98b,+34 885 352 162,F8084465G,count_bank: ES0785147168671330764756
Leonor Vicente Alcolea,S0398875E,"Avenida de Abril Colom 32 Piso 6 
Cáceres, 50314",cp: 04187,#10d0d3,+34 828 791 678,S0398875E,count_bank: ES1109664190894371885446
Rosaura Blanca Pallarès,C02468916,"Acceso de Damián Muñoz 42 Puerta 6 
Murcia, 03390",cp: 25418,#4ca01b,+34 730 80 81 50,C02468916,count_bank: ES0823211458633225966814
Dan Raya Cabo,95499818T,"Urbanización de Dominga Abril 84 Piso 6 
León, 39128",cp: 44469,#adf796,+34939904904,95499818T,count_bank: ES7716516049727190375962
Jose Manuel Moles Prieto,U9767438F,"Pasadizo Carlos Novoa 95 Apt. 68 
Ciudad, 49986",cp: 08176,#2b79ef,+34885956037,U9767438F,count_bank: ES2222505085397152828903
Tiburcio Miró Nevado,86159837C,"Cuesta Marina Barbero 68 Puerta 0 
Salamanca, 38163",cp: 10686,#5bd642,+34 873 21 53 02,86159837C,count_bank: ES4101277956607371168040
Olegario Armas Miralles,88104375T,"Camino de Remedios Abad 622
Zamora, 20485",cp: 08727,#a1fcd5,+34888 980 032,88104375T,count_bank: ES6378964060264066611964
Andrea Pi Olmedo,98762178V,"Ronda de Pancho Riquelme 1 Apt. 62 
Madrid, 30965",cp: 20932,#05aa55,+34700068605,98762178V,count_bank: ES6750881107801596731611
Sandalio Huerta Mayoral,60277671F,"Cuesta Rubén Angulo 89
Santa Cruz de Tenerife, 15326",cp: 03971,#ba5b12,+34737 32 42 59,60277671F,count_bank: ES1507752539328950789474
Teresita Tello Solé,Z4208941S,"Plaza Edmundo Polo 31
Baleares, 40429",cp: 39556,#9de281,+34 944725407,Z4208941S,count_bank: ES2347159449604189377359
Miriam Pellicer-Palacios,62986341J,"Callejón Brunilda Pinedo 53
Guadalajara, 32965",cp: 06700,#6fe8cb,+34975 536 261,62986341J,count_bank: ES4309863497603192511445
Javier Cámara Torrecilla,Z4534987J,"Paseo Luis Nogués 58
Guipúzcoa, 02571",cp: 43295,#d83188,+34942 99 34 77,Z4534987J,count_bank: ES8930884273377984172690
Javi Rosendo Mármol Pulido,Y5065127N,"Ronda Eladio Ferrándiz 55
Girona, 25429",cp: 31703,#f9bdb8,+34 922593195,Y5065127N,count_bank: ES7493172202019799298777
